image_path,annotation
E:\wei\glandular1536_20211217\images\TG2366912.svs_x11366_y24725_side1536.jpg,0 688 710 848 826;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x13717_y43108_side1536.jpg,0 13 1200 122 1333;0 671 703 865 833;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x13487_y39585_side1536.jpg,0 713 694 824 842;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x13082_y36990_side1536.jpg,0 710 670 826 867;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x12748_y35385_side1536.jpg,0 704 703 832 833;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x13669_y33870_side1536.jpg,0 548 944 660 1084;0 894 456 972 589;0 1083 241 1245 434;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x13874_y25714_side1536.jpg,0 632 776 767 888;0 782 671 893 739;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x13505_y24323_side1536.jpg,0 720 697 816 840;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x15554_y22147_side1536.jpg,0 596 810 667 972;0 863 569 948 722;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x15102_y32035_side1536.jpg,0 557 583 645 769;0 891 784 982 939;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x15161_y33102_side1536.jpg,0 729 700 807 836;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x16187_y36421_side1536.jpg,0 894 21 1029 94;0 399 48 632 249;0 589 810 702 910;0 955 1317 1089 1459;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x14604_y40480_side1536.jpg,0 825 718 911 818;0 618 703 719 836;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x14652_y43660_side1536.jpg,0 708 731 829 805;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x15667_y45824_side1536.jpg,0 722 726 814 811;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x17055_y47498_side1536.jpg,0 631 505 747 579;0 641 968 745 1023;0 781 942 914 1005;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x17492_y45431_side1536.jpg,0 738 718 798 819;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x17130_y41855_side1536.jpg,0 611 758 701 913;0 830 655 930 746;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x17331_y36188_side1536.jpg,0 729 692 808 845;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x17750_y32583_side1536.jpg,0 822 715 1002 919;0 593 654 655 786;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x17080_y31473_side1536.jpg,0 695 739 842 797;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x20123_y7136_side1536.jpg,1 616 526 920 1011;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x19227_y12579_side1536.jpg,0 640 648 721 763;0 815 775 898 889;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x19899_y18771_side1536.jpg,1 470 526 1066 1010;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x22062_y48713_side1536.jpg,1 389 741 1020 1521;0 783 344 881 467;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x21669_y43990_side1536.jpg,1 696 723 841 814;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x20939_y40564_side1536.jpg,0 857 785 964 871;0 562 674 690 745;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x21275_y39783_side1536.jpg,0 226 1455 354 1526;1 177 432 1359 1104;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x21184_y33477_side1536.jpg,1 590 640 947 896;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x21911_y15417_side1536.jpg,0 733 708 804 828;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x23434_y8772_side1536.jpg,0 693 712 843 825;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x24239_y11403_side1536.jpg,0 651 704 886 832;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x23763_y12417_side1536.jpg,0 707 733 830 803;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x23816_y20519_side1536.jpg,0 703 713 833 824;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x23470_y23203_side1536.jpg,0 719 688 817 848;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x24263_y23072_side1536.jpg,0 586 589 950 947;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x24165_y26686_side1536.jpg,0 708 734 829 803;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x23666_y34996_side1536.jpg,0 718 675 818 861;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x23852_y38532_side1536.jpg,0 741 695 795 841;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x23066_y42964_side1536.jpg,0 619 461 732 657;0 795 910 928 1047;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x25348_y50609_side1536.jpg,0 704 694 840 736;0 689 773 840 869;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x26566_y43129_side1536.jpg,0 700 722 837 814;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x24936_y43031_side1536.jpg,0 794 678 873 796;0 643 767 764 833;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x24701_y40526_side1536.jpg,0 724 710 812 826;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x24473_y39570_side1536.jpg,0 703 726 833 810;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x26106_y39276_side1536.jpg,0 633 646 801 777;0 739 789 899 860;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x25242_y37007_side1536.jpg,0 731 697 806 840;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x25307_y29669_side1536.jpg,0 709 716 827 821;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x34079_y29440_side1536.jpg,0 730 692 806 844;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x42518_y32138_side1536.jpg,0 782 706 844 827;0 683 698 764 842;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x46458_y25834_side1536.jpg,0 705 692 831 844;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x45370_y25643_side1536.jpg,0 688 700 849 836;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x50216_y24608_side1536.jpg,0 708 718 828 818;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x34772_y36324_side1536.jpg,0 721 704 815 832;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x34790_y34075_side1536.jpg,0 709 735 827 801;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x28122_y17439_side1536.jpg,1 507 470 1030 1066;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x41373_y9840_side1536.jpg,0 742 716 794 820;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x40365_y9045_side1536.jpg,0 694 695 843 842;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x25762_y20468_side1536.jpg,0 629 778 743 891;0 804 631 897 773;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x16158_y29486_side1536.jpg,0 710 727 827 810;
E:\wei\glandular1536_20211217\images\TG2366912.svs_x33698_y37686_side1536.jpg,0 725 693 811 844;
E:\wei\glandular1536_20211217\images\TG2366926.svs_x14437_y24686_side1536.jpg,0 761 656 820 745;0 709 805 782 869;
E:\wei\glandular1536_20211217\images\TG2366926.svs_x15179_y40033_side1536.jpg,0 720 741 817 796;
E:\wei\glandular1536_20211217\images\TG2366926.svs_x10878_y28416_side1536.jpg,0 658 706 878 830;
E:\wei\glandular1536_20211217\images\TG2367060.svs_x30018_y6354_side1536.jpg,1 737 707 800 830;
E:\wei\glandular1536_20211217\images\TG2367060.svs_x32308_y4640_side1536.jpg,0 392 746 476 800;0 1053 739 1152 787;
E:\wei\glandular1536_20211217\images\TG2367060.svs_x38870_y10573_side1536.jpg,0 724 735 813 802;
E:\wei\glandular1536_20211217\images\TG2367060.svs_x48324_y25398_side1536.jpg,0 570 686 624 797;0 764 619 817 680;0 897 740 981 800;0 669 857 801 916;
E:\wei\glandular1536_20211217\images\TG2367060.svs_x48759_y26211_side1536.jpg,0 234 44 366 103;0 709 730 828 807;
E:\wei\glandular1536_20211217\images\TG2367060.svs_x49887_y27881_side1536.jpg,0 733 728 804 809;
E:\wei\glandular1536_20211217\images\TG2367060.svs_x49638_y32470_side1536.jpg,0 741 712 795 824;
E:\wei\glandular1536_20211217\images\TG2367060.svs_x47418_y32641_side1536.jpg,0 719 745 818 791;
E:\wei\glandular1536_20211217\images\TG2367060.svs_x40315_y26962_side1536.jpg,0 732 702 805 834;
E:\wei\glandular1536_20211217\images\TG2367060.svs_x33133_y26024_side1536.jpg,0 707 721 830 815;
E:\wei\glandular1536_20211217\images\TG2367060.svs_x7416_y23388_side1536.jpg,0 674 686 863 850;
E:\wei\glandular1536_20211217\images\TG2367060.svs_x17977_y34254_side1536.jpg,0 721 726 816 811;
E:\wei\glandular1536_20211217\images\TG2367060.svs_x10638_y37278_side1536.jpg,0 698 745 838 791;
E:\wei\glandular1536_20211217\images\TG2367060.svs_x11612_y33048_side1536.jpg,0 741 729 795 807;
E:\wei\glandular1536_20211217\images\TG2367060.svs_x20914_y43062_side1536.jpg,0 711 726 825 811;
E:\wei\glandular1536_20211217\images\TG2367060.svs_x18457_y38790_side1536.jpg,0 859 553 954 634;0 601 899 659 987;
E:\wei\glandular1536_20211217\images\TG2367060.svs_x20426_y36186_side1536.jpg,0 740 694 796 842;
E:\wei\glandular1536_20211217\images\TG2367060.svs_x23650_y34781_side1536.jpg,0 885 809 996 915;0 974 916 1034 958;0 479 565 588 636;
E:\wei\glandular1536_20211217\images\TG2367060.svs_x24939_y33874_side1536.jpg,0 804 731 943 798;0 635 740 690 806;
E:\wei\glandular1536_20211217\images\TG2367060.svs_x35756_y35328_side1536.jpg,0 747 701 808 761;0 718 779 801 834;
E:\wei\glandular1536_20211217\images\TG2367060.svs_x36499_y41794_side1536.jpg,0 671 730 866 807;
E:\wei\glandular1536_20211217\images\TG2367060.svs_x30636_y46069_side1536.jpg,0 909 870 983 969;0 545 556 638 677;
E:\wei\glandular1536_20211217\images\TG2367060.svs_x26370_y45697_side1536.jpg,1 939 840 1039 873;1 971 780 1052 820;1 465 660 584 700;
E:\wei\glandular1536_20211217\images\TG2367060.svs_x22289_y48845_side1536.jpg,0 721 731 815 805;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x19040_y25637_side1536.jpg,0 735 710 801 826;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x17434_y22955_side1536.jpg,1 729 694 807 842;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x32177_y10709_side1536.jpg,0 733 697 803 839;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x33940_y12153_side1536.jpg,0 699 775 817 852;0 723 682 834 763;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x35360_y12900_side1536.jpg,0 904 729 994 802;0 559 720 615 824;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x26175_y22754_side1536.jpg,1 905 466 1009 547;0 332 1044 401 1162;0 543 984 617 1075;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x41573_y16500_side1536.jpg,0 722 705 814 831;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x39339_y18629_side1536.jpg,0 727 709 809 827;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x32310_y17214_side1536.jpg,0 701 709 835 827;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x16615_y36713_side1536.jpg,0 547 824 637 945;0 918 694 970 796;1 583 611 654 693;0 1330 1387 1388 1492;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x17560_y45338_side1536.jpg,1 507 459 1030 1078;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x13089_y45712_side1536.jpg,0 708 733 829 803;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x27366_y40397_side1536.jpg,0 679 596 857 941;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x22062_y38875_side1536.jpg,0 673 813 792 867;0 774 655 833 739;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x24846_y36421_side1536.jpg,0 679 730 858 807;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x26028_y36644_side1536.jpg,0 741 721 796 816;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x27859_y34905_side1536.jpg,1 665 571 871 966;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x28044_y36071_side1536.jpg,1 687 688 850 848;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x28925_y27393_side1536.jpg,0 820 665 893 709;0 768 739 847 792;0 771 814 837 917;0 653 620 709 724;0 40 809 140 877;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x27755_y24388_side1536.jpg,0 721 716 816 820;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x36046_y24928_side1536.jpg,1 695 716 842 820;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x40755_y28705_side1536.jpg,0 700 715 836 821;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x41873_y23045_side1536.jpg,0 539 598 705 685;1 863 828 968 963;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x47874_y35239_side1536.jpg,1 725 716 811 820;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x46981_y35812_side1536.jpg,1 780 745 873 792;1 685 717 737 818;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x41179_y40677_side1536.jpg,0 651 735 714 856;0 811 721 899 761;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x42375_y42793_side1536.jpg,0 709 709 827 828;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x41150_y44433_side1536.jpg,0 676 665 861 871;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x40678_y45484_side1536.jpg,0 715 730 821 806;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x27035_y38113_side1536.jpg,0 693 736 843 800;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x26402_y35436_side1536.jpg,1 722 749 814 788;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x52346_y23716_side1536.jpg,0 699 714 838 822;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x45554_y13993_side1536.jpg,0 723 730 813 806;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x45687_y12499_side1536.jpg,0 735 698 802 838;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x34746_y6795_side1536.jpg,0 716 701 821 835;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x33829_y21861_side1536.jpg,0 716 733 820 803;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x35585_y23899_side1536.jpg,0 663 872 718 968;0 808 581 886 651;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x30382_y50947_side1536.jpg,0 699 734 838 802;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x25308_y49516_side1536.jpg,0 715 707 821 829;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x15498_y44022_side1536.jpg,0 659 476 749 628;0 803 919 863 1049;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x11610_y25831_side1536.jpg,0 736 726 800 811;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x12884_y24602_side1536.jpg,0 716 724 821 812;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x11639_y23742_side1536.jpg,0 732 701 804 836;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x15556_y22943_side1536.jpg,0 700 712 837 824;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x18115_y27531_side1536.jpg,0 723 704 814 832;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x21448_y31315_side1536.jpg,0 726 718 810 819;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x20348_y34848_side1536.jpg,0 740 700 796 836;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x18210_y34842_side1536.jpg,0 732 702 804 835;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x16970_y34252_side1536.jpg,0 926 755 1005 901;0 591 695 663 840;1 544 655 599 761;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x15339_y37682_side1536.jpg,0 722 722 815 814;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x38532_y44575_side1536.jpg,0 736 676 800 860;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x39785_y41662_side1536.jpg,0 419 729 492 834;0 1052 696 1110 816;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x44964_y39334_side1536.jpg,0 739 707 797 830;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x51484_y36855_side1536.jpg,0 723 737 813 799;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x50341_y21725_side1536.jpg,0 724 733 812 804;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x29395_y16978_side1536.jpg,0 707 939 808 973;0 750 514 808 648;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x26614_y16754_side1536.jpg,1 456 848 566 920;1 961 586 1090 721;1 997 331 1148 381;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x20068_y13636_side1536.jpg,0 579 379 675 447;0 828 1102 992 1146;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x41894_y10162_side1536.jpg,0 722 731 815 805;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x22131_y7488_side1536.jpg,0 816 954 963 1019;0 607 497 688 604;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x21440_y16674_side1536.jpg,0 741 705 795 831;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x25323_y21537_side1536.jpg,0 669 661 868 875;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x25448_y22898_side1536.jpg,0 1059 900 1128 1018;0 1270 840 1344 931;0 407 518 481 636;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x27451_y26969_side1536.jpg,0 706 736 831 801;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x24019_y32679_side1536.jpg,0 734 740 802 797;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x22099_y32793_side1536.jpg,0 708 739 828 798;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x18818_y32560_side1536.jpg,0 737 705 800 832;
E:\wei\glandular1536_20211217\images\TG2367075.svs_x24586_y27762_side1536.jpg,0 730 710 806 826;
E:\wei\glandular1536_20211217\images\TG2367095.svs_x23355_y32532_side1536.jpg,0 709 687 827 850;
E:\wei\glandular1536_20211217\images\TG2367095.svs_x38705_y49584_side1536.jpg,0 676 709 861 827;
E:\wei\glandular1536_20211217\images\TG2367100.svs_x12446_y24909_side1536.jpg,0 688 669 829 702;0 865 613 923 662;0 615 840 671 957;
E:\wei\glandular1536_20211217\images\TG2367100.svs_x29425_y4913_side1536.jpg,0 703 689 833 848;
E:\wei\glandular1536_20211217\images\TG2367100.svs_x44065_y12482_side1536.jpg,1 445 274 1092 1262;
E:\wei\glandular1536_20211217\images\TG2367100.svs_x46898_y30232_side1536.jpg,0 733 693 804 843;
E:\wei\glandular1536_20211217\images\TG2367100.svs_x28982_y20542_side1536.jpg,0 703 731 834 805;
E:\wei\glandular1536_20211217\images\TG2367100.svs_x27725_y28327_side1536.jpg,0 699 708 838 829;
E:\wei\glandular1536_20211217\images\TG2367100.svs_x28926_y30024_side1536.jpg,0 726 721 810 816;
E:\wei\glandular1536_20211217\images\TG2367100.svs_x24780_y52716_side1536.jpg,0 708 735 829 801;
E:\wei\glandular1536_20211217\images\TG2367100.svs_x31356_y41299_side1536.jpg,0 706 687 830 849;
E:\wei\glandular1536_20211217\images\TG2367100.svs_x37184_y38111_side1536.jpg,0 694 673 843 863;
E:\wei\glandular1536_20211217\images\TG2367146.svs_x14354_y33691_side1536.jpg,1 597 629 940 908;
E:\wei\glandular1536_20211217\images\TG2367146.svs_x10204_y28321_side1536.jpg,0 528 1028 571 1114;0 1138 987 1190 1088;0 337 413 408 519;
E:\wei\glandular1536_20211217\images\TG2367146.svs_x30810_y36439_side1536.jpg,0 735 747 801 789;
E:\wei\glandular1536_20211217\images\TG2367146.svs_x26753_y26450_side1536.jpg,0 837 780 939 818;0 590 701 707 773;
E:\wei\glandular1536_20211217\images\TG2367146.svs_x17377_y10344_side1536.jpg,0 737 751 800 786;
E:\wei\glandular1536_20211217\images\TG2367146.svs_x23962_y24342_side1536.jpg,0 710 681 826 855;
E:\wei\glandular1536_20211217\images\TG2367146.svs_x39594_y17120_side1536.jpg,1 628 570 815 682;1 757 740 874 832;0 747 866 865 956;
E:\wei\glandular1536_20211217\images\TG2367146.svs_x38848_y14933_side1536.jpg,0 748 327 823 453;
E:\wei\glandular1536_20211217\images\TG2367146.svs_x21971_y15842_side1536.jpg,1 556 572 980 965;
E:\wei\glandular1536_20211217\images\TG2367146.svs_x21477_y25578_side1536.jpg,0 726 671 811 866;
E:\wei\glandular1536_20211217\images\TG2367146.svs_x16718_y34916_side1536.jpg,0 727 695 810 842;
E:\wei\glandular1536_20211217\images\TG2367146.svs_x27463_y42922_side1536.jpg,1 496 424 1041 1113;
E:\wei\glandular1536_20211217\images\TG2367146.svs_x48400_y27371_side1536.jpg,0 726 721 811 815;
E:\wei\glandular1536_20211217\images\TG2367146.svs_x27769_y47410_side1536.jpg,0 638 628 747 712;0 792 793 895 940;
E:\wei\glandular1536_20211217\images\TG2367146.svs_x22586_y49866_side1536.jpg,0 634 706 903 830;
E:\wei\glandular1536_20211217\images\TG2367146.svs_x15865_y46419_side1536.jpg,0 738 720 799 817;
E:\wei\glandular1536_20211217\images\TG2367146.svs_x39100_y25719_side1536.jpg,1 545 552 991 985;
E:\wei\glandular1536_20211217\images\TG2367146.svs_x40220_y9722_side1536.jpg,0 662 775 707 893;0 798 671 906 734;
E:\wei\glandular1536_20211217\images\TG2367146.svs_x32056_y49164_side1536.jpg,0 731 701 806 835;
E:\wei\glandular1536_20211217\images\TG2367146.svs_x17561_y44241_side1536.jpg,1 695 724 841 813;
E:\wei\glandular1536_20211217\images\TG2367146.svs_x20231_y48743_side1536.jpg,0 691 636 845 900;
E:\wei\glandular1536_20211217\images\TG2367146.svs_x7900_y38651_side1536.jpg,0 734 724 802 812;
E:\wei\glandular1536_20211217\images\TG2367146.svs_x15254_y44485_side1536.jpg,0 718 727 818 809;
E:\wei\glandular1536_20211217\images\TG2367221.svs_x23663_y13990_side1536.jpg,0 817 617 927 676;0 621 826 710 956;
E:\wei\glandular1536_20211217\images\TG2367221.svs_x23247_y14069_side1536.jpg,0 1233 538 1343 597;0 1037 747 1126 877;0 414 693 497 758;
E:\wei\glandular1536_20211217\images\TG2367221.svs_x25046_y25193_side1536.jpg,0 728 739 809 798;
E:\wei\glandular1536_20211217\images\TG2367221.svs_x34055_y25423_side1536.jpg,0 1012 532 1124 678;0 429 888 507 975;
E:\wei\glandular1536_20211217\images\TG2367221.svs_x14351_y25806_side1536.jpg,0 730 716 806 821;
E:\wei\glandular1536_20211217\images\TG2367221.svs_x20324_y38671_side1536.jpg,0 716 714 821 822;
E:\wei\glandular1536_20211217\images\TG2367221.svs_x18614_y33907_side1536.jpg,0 731 740 806 796;
E:\wei\glandular1536_20211217\images\TG2367221.svs_x34052_y35342_side1536.jpg,0 736 720 801 817;
E:\wei\glandular1536_20211217\images\TG2367257.svs_x29484_y18694_side1536.jpg,0 718 701 818 836;
E:\wei\glandular1536_20211217\images\TG2367257.svs_x4997_y20636_side1536.jpg,1 547 732 735 906;0 852 646 938 788;
E:\wei\glandular1536_20211217\images\TG2367257.svs_x38725_y8621_side1536.jpg,0 677 696 860 841;
E:\wei\glandular1536_20211217\images\TG2367257.svs_x40746_y8635_side1536.jpg,0 717 699 819 838;
E:\wei\glandular1536_20211217\images\TG2367257.svs_x9154_y17022_side1536.jpg,0 713 685 823 851;
E:\wei\glandular1536_20211217\images\TG2367257.svs_x30125_y24381_side1536.jpg,0 731 716 806 821;
E:\wei\glandular1536_20211217\images\TG2367257.svs_x30162_y21006_side1536.jpg,0 714 702 812 752;0 730 774 817 844;
E:\wei\glandular1536_20211217\images\TG2367257.svs_x31555_y35711_side1536.jpg,0 682 728 740 854;0 769 700 882 790;
E:\wei\glandular1536_20211217\images\TG2367351.svs_x6777_y23578_side1536.jpg,0 731 715 805 822;
E:\wei\glandular1536_20211217\images\TG2367351.svs_x23463_y8097_side1536.jpg,0 715 737 822 800;
E:\wei\glandular1536_20211217\images\TG2367351.svs_x9156_y31897_side1536.jpg,0 708 733 828 804;
E:\wei\glandular1536_20211217\images\TG2367351.svs_x17701_y29514_side1536.jpg,0 717 727 820 809;
E:\wei\glandular1536_20211217\images\TG2367351.svs_x20756_y34236_side1536.jpg,1 725 711 811 826;
E:\wei\glandular1536_20211217\images\TG2367351.svs_x27070_y49572_side1536.jpg,1 685 746 852 790;
E:\wei\glandular1536_20211217\images\TG2367351.svs_x28081_y48249_side1536.jpg,1 696 733 841 804;
E:\wei\glandular1536_20211217\images\TG2367351.svs_x49142_y20724_side1536.jpg,1 633 654 903 883;
E:\wei\glandular1536_20211217\images\TG2367351.svs_x46780_y38186_side1536.jpg,1 648 709 888 827;
E:\wei\glandular1536_20211217\images\TG2367351.svs_x50362_y26614_side1536.jpg,0 753 654 795 772;0 712 780 812 866;
E:\wei\glandular1536_20211217\images\TG2367351.svs_x38819_y33462_side1536.jpg,0 702 726 835 811;
E:\wei\glandular1536_20211217\images\TG2367351.svs_x37928_y32722_side1536.jpg,0 716 744 821 792;
E:\wei\glandular1536_20211217\images\TG2367400.svs_x25975_y17930_side1536.jpg,0 699 727 838 810;
E:\wei\glandular1536_20211217\images\TG2367400.svs_x21525_y20230_side1536.jpg,0 666 707 870 829;
E:\wei\glandular1536_20211217\images\TG2367400.svs_x17955_y21319_side1536.jpg,0 691 738 846 799;
E:\wei\glandular1536_20211217\images\TG2367400.svs_x28784_y18681_side1536.jpg,0 716 700 821 837;
E:\wei\glandular1536_20211217\images\TG2367400.svs_x27958_y21200_side1536.jpg,0 724 690 812 847;
E:\wei\glandular1536_20211217\images\TG2367400.svs_x14334_y22592_side1536.jpg,0 713 741 823 795;
E:\wei\glandular1536_20211217\images\TG2367400.svs_x29334_y9424_side1536.jpg,0 713 698 823 839;
E:\wei\glandular1536_20211217\images\TG2367400.svs_x47765_y25830_side1536.jpg,0 713 738 824 798;
E:\wei\glandular1536_20211217\images\TG2367400.svs_x47750_y27391_side1536.jpg,0 736 722 801 815;
E:\wei\glandular1536_20211217\images\TG2367400.svs_x35929_y38692_side1536.jpg,0 738 700 798 837;
E:\wei\glandular1536_20211217\images\TG2367400.svs_x26676_y26868_side1536.jpg,0 687 670 849 867;
E:\wei\glandular1536_20211217\images\TG2367400.svs_x9538_y31225_side1536.jpg,0 681 705 855 831;
E:\wei\glandular1536_20211217\images\TG2367400.svs_x24932_y50425_side1536.jpg,0 718 695 818 842;
E:\wei\glandular1536_20211217\images\TG2367400.svs_x15411_y47267_side1536.jpg,0 725 730 811 807;
E:\wei\glandular1536_20211217\images\TG2367400.svs_x19249_y36257_side1536.jpg,0 737 714 800 823;
E:\wei\glandular1536_20211217\images\TG2367400.svs_x24883_y36066_side1536.jpg,0 730 707 807 829;
E:\wei\glandular1536_20211217\images\TG2367400.svs_x51945_y35513_side1536.jpg,0 642 796 766 872;0 775 671 890 735;
E:\wei\glandular1536_20211217\images\TG2367425.svs_x25873_y15862_side1536.jpg,0 699 731 838 806;
E:\wei\glandular1536_20211217\images\TG2367450.svs_x12484_y21545_side1536.jpg,0 739 717 798 819;
E:\wei\glandular1536_20211217\images\TG2367450.svs_x13119_y41376_side1536.jpg,0 730 712 807 824;
E:\wei\glandular1536_20211217\images\TG2367450.svs_x12127_y46604_side1536.jpg,0 711 741 825 795;
E:\wei\glandular1536_20211217\images\TG2367450.svs_x26247_y40546_side1536.jpg,1 656 716 881 821;
E:\wei\glandular1536_20211217\images\TG2367491.svs_x15471_y31041_side1536.jpg,0 841 498 996 675;0 583 905 654 997;
